customer_id,tax_id,tax_code,customer_name,state,city,postcode,street,number,unit,region,district,lon,lat,ship_to_address,valid_from,valid_to,units_purchased,loyalty_segment
19154815,NULL,NULL,"VERTA,  RAYMOND J",OH,CANTON,44710.0,WERTZ AVE SW,1224,NULL,OH,STA,-81.40792359999998,40.7893091,"OH, 44710.0, WERTZ AVE SW, 1224",1544554334,NULL,27,3
2469887,NULL,NULL,"BRYANT,  KATHRYN I",MA,WHITMAN,2382.0,JACOB LANE,11,NULL,MA,PLYMOUTH,-70.942509,42.0936276,"MA, 2382.0, JACOB LANE, 11",1516971623,NULL,7,1
11743397,NULL,NULL,"UCZEN,  MARK D",CA,Roseland,95407.0,Gloria Dr,1473,NULL,NULL,NULL,-122.7282835,38.4158261,"CA, 95407.0, Gloria Dr, 1473",1529825848,NULL,5,0
9944827,NULL,NULL,"HOFFMANN,  AARON G",IN,NULL,46226,N KITLEY AVE,4025.0,NULL,Indiana,49.0,-86.0550285,39.8305214,"IN, 46226, N KITLEY AVE, 4025.0",1518955698,NULL,3,0
11928169,NULL,NULL,"OUTTEN,  MIA G",NJ,PENNS GROVE,8069.0,Mill Street,89,NULL,NULL,NULL,-75.4745981,39.72958970000001,"NJ, 8069.0, Mill Street, 89",1532887809,NULL,6,1
24917207,NULL,NULL,"AGUILAR JR,  ROBERT",FL,ROCKLEDGE,32955.0,CAROLINA AVE,935,NULL,FL,BREVARD,-80.7456544,28.346094399999995,"FL, 32955.0, CAROLINA AVE, 935",1537516177,NULL,6,1
17211232,NULL,NULL,"BALASZEK,  LES J",CA,SUN CITY,92585,PINE NEEDLE RD,30090,NULL,NULL,NULL,-117.1349395,33.7333875,"CA, 92585, PINE NEEDLE RD, 30090",1540694264,NULL,6,1
7164613,NULL,NULL,"BERNARDINO,  JAIME",GA,NULL,30016,SPRING VALLEY WAY,170,NULL,NULL,NULL,-83.912388,33.5328338,"GA, 30016, SPRING VALLEY WAY, 170",1521504627,NULL,16,3
23608911,NULL,NULL,"KLIMASZEWSKI,  GREGORY",IL,STERLING,61081.0,E 13TH ST,801,NULL,IL,NULL,-89.6860474,41.7977456,"IL, 61081.0, E 13TH ST, 801",1535788037,NULL,7,1
10603598,NULL,NULL,"CRYLEN,  TAMMIE",NJ,SEA ISLE CITY,8243.0,Central Avenue North,6509,NULL,NULL,NULL,-74.70574920000001,39.1399165,"NJ, 8243.0, Central Avenue North, 6509",1541181492,NULL,4,0
8858342,NULL,NULL,"CLAUDIO,  ERIBERTO",CA,REDDING,96001.0,ORO ST,4040,NULL,NULL,NULL,-122.4272956,40.5714019,"CA, 96001.0, ORO ST, 4040",1522679974,NULL,6,1
467248,NULL,NULL,"MC FADDEN JR,  GARDNER E",UT,MURRAY,84123,WEST GERMANIA STREET,464,NULL,UT,49035 - Salt Lake,-111.904717,40.6597674,"UT, 84123, WEST GERMANIA STREET, 464",1543078273,NULL,8,2
5997959,NULL,NULL,"KEVIN,  SEAN R",PA,LOWER NAZARETH,18064.0,DANIELS RD,511,NULL,NULL,NULL,-75.33148270000002,40.7092747,"PA, 18064.0, DANIELS RD, 511",1516018270,NULL,4,0
2581731,NULL,NULL,"SCHAFFRATH,  STEVEN R",MA,FRANKLIN,2038.0,MARY ANNE DRIVE,11,NULL,MA,NORFOLK,-71.4348071,42.12722120000001,"MA, 2038.0, MARY ANNE DRIVE, 11",1516946202,NULL,0,0
31920379,NULL,NULL,"MAGUIRE,  BERNARD J",WA, , ,RESERVOIR,0.0,NULL,NULL,NULL,-120.5791868,46.62339650000001,"WA,  , RESERVOIR, 0.0",1532677354,NULL,2,0
11687899,NULL,NULL,"LINTON,  JAMES E",CA,City of Sonoma,95476.0,3rd St W,644,NULL,NULL,NULL,-122.4635531,38.289746,"CA, 95476.0, 3rd St W, 644",1528308079,NULL,3,0
14712172,NULL,NULL,"RODGERS,  DARLEEN F",OH,COLUMBUS,43201.0,GIBBARD AVE,758,NULL,OH,FRA,-82.9842248,39.9843149,"OH, 43201.0, GIBBARD AVE, 758",1531246146,NULL,3,0
19032398,NULL,NULL,"HAILE,  ROBERT A",NY,Southold,11957,Youngs Road,1700,NULL,NY,Suffolk,-72.3029596,41.1477658,"NY, 11957, Youngs Road, 1700",1528042855,NULL,1,0
16355000,NULL,NULL,"VAZQUEZ,  KEYLA",OH,COLUMBUS,43228,WESTBROOK VILLAGE DR,1830,NULL,OH,FRA,-83.11974790000002,39.9150654,"OH, 43228, WESTBROOK VILLAGE DR, 1830",1530098698,NULL,9,2
10549224,NULL,NULL,"DWYER,  THOMAS H",NJ,VILLAS,8251.0,East   Atlantic Avenue,48,NULL,NULL,NULL,-74.9314136,39.0278947,"NJ, 8251.0, East   Atlantic Avenue, 48",1521481144,NULL,5,0
25390741,NULL,NULL,"STUBBS SR,  LAWRENCE D",WI,Milwaukee,53220,S 83RD ST,3649.0,NULL,NULL,NULL,-88.01682890000002,42.978097,"WI, 53220, S 83RD ST, 3649.0",1516606956,NULL,2,0
9722000,NULL,NULL,"POLLEY,  BARBARA E",NJ,BUTLER,7405.0,LAKESIDE TRL,6,NULL,NJ,NULL,-74.3544995,40.9758008,"NJ, 7405.0, LAKESIDE TRL, 6",1521882767,NULL,10,2
2738391,NULL,NULL,"IZEWSKI,  DOROTHY I",MN,Saint Paul,55126,Lexington Avenue North,3570,NULL,NULL,Ramsey,-93.1462953,45.0492628,"MN, 55126, Lexington Avenue North, 3570",1527371986,NULL,14,3
19601514,NULL,NULL,"WELSH,  JOHN P",CA,FREMONT,94538,PORTER ST,4480,NULL,NULL,NULL,-121.9734466,37.5327624,"CA, 94538, PORTER ST, 4480",1515993033,NULL,3,0
19666334,NULL,NULL,"WILLIAMS,  ELIZABETH D",NY,North Hempstead,11030,Aerie Court,5,NULL,NY,Nassau,-73.66971219999998,40.7903779,"NY, 11030, Aerie Court, 5",1516445901,NULL,4,0
53856945,NULL,NULL,"DUCKWILEY,  SHANETTA D",NC,NULL,27051,MARTINS TRAIL CIR,3696.0,APT 102,NULL,NULL,-80.13482309999998,36.162373,"NC, 27051, MARTINS TRAIL CIR, 3696.0",1526443979,NULL,6,1
16290327,NULL,NULL,"HAAS,  ROGER J",NY,Clarkson,14420,Redman Road,4065,NULL,NY,Monroe,-77.9672749,43.2290731,"NY, 14420, Redman Road, 4065",1534774556,NULL,81,3
23343245,NULL,NULL,"BRANCH,  JAMES E",HI,KAHULUI,96732.0,MELEANA PL,28.0,NULL,HI,NULL,-156.491501,20.877814,"HI, 96732.0, MELEANA PL, 28.0",1530208048,NULL,1,0
17195438,NULL,NULL,"NITSCHKE,  ALEXANDRA D",OH,EASTLAKE,44095,E 354 ST,1341,NULL,OH,LAK,-81.4362107,41.6439863,"OH, 44095, E 354 ST, 1341",1522356996,NULL,16,3
53920631,NULL,NULL,"SALDANA,  TIMOTHY P",NC,NULL,27127,QUEENSWAY RD,5070.0,NULL,NULL,NULL,-80.25702199999998,36.0179418,"NC, 27127, QUEENSWAY RD, 5070.0",1528982346,NULL,49,3
6701325,NULL,NULL,"CHUKWU,  BASIL O",MI,ROMULUS,48174,OAKBROOK,15559.0,NULL,MI,NULL,-83.3370922,42.190733,"MI, 48174, OAKBROOK, 15559.0",1537861125,NULL,9,2
25430322,NULL,NULL,"OLSZANSKI,  ROBERT",AZ,CHANDLER,85224.0,W ORCHID LN,1353.0,NULL,NULL,NULL,-111.8645177,33.3230635,"AZ, 85224.0, W ORCHID LN, 1353.0",1531641576,NULL,41,3
26410688,NULL,NULL,"BLACKBURN,  DARRION F",FL,FORT LAUDERDALE,33312,CLIPPER PL,2231,NULL,NULL,BROWARD,-80.17060500000002,26.061498,"FL, 33312, CLIPPER PL, 2231",1520097726,NULL,22,3
18322154,NULL,NULL,"ARIZA,  ROY",OH,NULL,43072.0,ZIMMERMAN RD,7450,NULL,OH,CHP,-83.89999420000002,40.1425225,"OH, 43072.0, ZIMMERMAN RD, 7450",1525393199,NULL,49,3
1482866,NULL,NULL,"ROBINSON,  VANESSA",MA,PLAINVILLE,2762.0,TERRY LANE,127,NULL,MA,NORFOLK,-71.31576240000003,42.00422070000001,"MA, 2762.0, TERRY LANE, 127",1535177026,NULL,25,3
19638530,NULL,NULL,"SWAN,  LORNA E",OH,NULL,45044.0,S MARSHALL RD,1508,NULL,NULL,NULL,-84.34804059999998,39.4972088,"OH, 45044.0, S MARSHALL RD, 1508",1524076793,NULL,9,2
15130412,NULL,NULL,"CHATMON,  KENNETH",OH,NULL,44004.0,N RIDGE  W,5759,A,OH,ATB,-80.8716573,41.82798920000001,"OH, 44004.0, N RIDGE  W, 5759",1537442616,NULL,27,3
25470206,NULL,NULL,"CHAVEZ,  GRETCHEN A",FL,GAINESVILLE,32641,SE 12TH TER,2318,NULL,NULL,ALACHUA,-82.309463,29.63094,"FL, 32641, SE 12TH TER, 2318",1517627247,NULL,5,0
16820002,NULL,NULL,"COOK,  ROBERT E",CA,MURRIETA,92563,CALLE ENTRADERO,25151,NULL,NULL,NULL,-117.1758397,33.5698288,"CA, 92563, CALLE ENTRADERO, 25151",1534391773,NULL,17,3
9842737,NULL,NULL,"CANNIFF,  COLLEEN A",IN,NULL,46239,FREESTONE DR,836.0,NULL,Indiana,49.0,-85.9991502,39.7580194,"IN, 46239, FREESTONE DR, 836.0",1544064416,NULL,21,3
1649583,NULL,NULL,"FORD,  CHARLES R",MA,SPRINGFIELD,1118.0,WACHUSETT STREET,177,NULL,MA,HAMPDEN,-72.5146554,42.08923660000001,"MA, 1118.0, WACHUSETT STREET, 177",1544137050,NULL,27,3
8984814,NULL,NULL,"WLODARCZYK,  THOMAS J",IN,Huntington,46750,N LAFONTAINE ST,1510,NULL,Indiana,35.0,-85.5085283,40.8888504,"IN, 46750, N LAFONTAINE ST, 1510",1536674590,NULL,6,1
15930603,NULL,NULL,"RAMIREZ,  JAVIER",CA,ANAHEIM,92805.0,S PHILADELPHIA ST,1018,7,NULL,NULL,-117.9052097,33.8207205,"CA, 92805.0, S PHILADELPHIA ST, 1018",1537937935,NULL,9,2
17707703,NULL,NULL,"HOLMES,  MATTHEW L",OH,NULL,43537.0,BAY HARBOUR CT,7271,NULL,OH,LUC,-83.7151218,41.5544516,"OH, 43537.0, BAY HARBOUR CT, 7271",1542206956,NULL,0,0
11610560,NULL,NULL,"NUNEZ,  JOHN C",ND,BISMARCK,58501,W OWENS AVE,1130,301,ND,BURLEIGH,-100.808395,46.8254796,"ND, 58501, W OWENS AVE, 1130",1517285537,NULL,8,2
9597658,NULL,NULL,"MUNOZ,  GABRIEL",GA,NULL,31401,E 32ND ST,534,NULL,NULL,NULL,-81.0923105,32.0595538,"GA, 31401, E 32ND ST, 534",1515740534,NULL,9,2
14313361,NULL,NULL,"COCHAND,  CHRISTINA",OH,ASHVILLE,43103.0,LONG ST,115,NULL,OH,PIC,-82.9536282,39.7154855,"OH, 43103.0, LONG ST, 115",1539139613,NULL,15,3
2474016,NULL,NULL,"CONFORTI,  ANGELINE J",MA,BROCKTON,2301.0,WEST ELM STREET,227,7,MA,PLYMOUTH,-71.0287734,42.0818885,"MA, 2301.0, WEST ELM STREET, 227",1545923003,NULL,22,3
25272002,NULL,NULL,"DEL ROSARIO,  JOLENE S",WI,Milwaukee,53223-1026,W GLENBROOK RD,7901.0,210,NULL,NULL,-88.00750529999998,43.1883127,"WI, 53223-1026, W GLENBROOK RD, 7901.0",1526161978,NULL,31,3
18705951,NULL,NULL,"BRADSHAW,  CARL B",CA,NULL,90020,W 5TH ST,3725,NULL,NULL,NULL,-118.29985,34.0655,"CA, 90020, W 5TH ST, 3725",1520449981,NULL,36,3
19189737,NULL,NULL,"MASON,  BARBARA J",NY,Babylon,11704,America Avenue,1438,NULL,NY,Suffolk,-73.33885440000002,40.7229311,"NY, 11704, America Avenue, 1438",1530031065,NULL,8,2
17446931,NULL,NULL,"DAVIS,  SHIRLEY A",NY,Black Brook,12912,Route 9N,2493,NULL,NY,Clinton,-73.6741715,44.4414605,"NY, 12912, Route 9N, 2493",1543481936,NULL,7,1
7008609,NULL,NULL,"MALIK,  JEFFREY F",PA,PITTSBURGH,15217,WOODMONT ST,5505,NULL,PA,ALLEGHENY,-79.9302623,40.4421199,"PA, 15217, WOODMONT ST, 5505",1521336988,NULL,0,0
12561629,NULL,NULL,"OWEN,  ALEXANDER",KS,WICHITA,67217,W   MAXWELL AVE,2918,NULL,KS,SEDGWICK COUNTY,-97.3761073,37.6500166,"KS, 67217, W   MAXWELL AVE, 2918",1533744150,NULL,29,3
30900353,NULL,NULL,"BURKE SR,  MARK J",FL,WINTER GARDEN,34787,PRUNNINGWOOD PL,14318,NULL,NULL,ORANGE,-81.59891,28.464299,"FL, 34787, PRUNNINGWOOD PL, 14318",1530277187,NULL,6,1
30892008,NULL,NULL,"OBAEBOR,  JAMES",OR,PORTLAND,97236.0,SE RAMONA ST,12846,09,OR,MULTNOMAH,-122.5309894,45.479606200000006,"OR, 97236.0, SE RAMONA ST, 12846",1536555285,NULL,18,3
28033851,NULL,NULL,"EVANS,  CAMILLE D",FL,SPRING HILL,34609,JESSICA DR,13305,NULL,NULL,HERNANDO,-82.503017,28.446538,"FL, 34609, JESSICA DR, 13305",1516664715,NULL,9,2
4240903,NULL,NULL,"QUINTANA,  ROSALINDA",VA,CHESAPEAKE,23323,OLD VIRGINIA RD,4128,NULL,VA,Chesapeake City,-76.38551650000002,36.7851738,"VA, 23323, OLD VIRGINIA RD, 4128",1525710931,1561681943,0,0
12623675,NULL,NULL,"GUTIERREZ,  BRYAN",CA,Wilmington,90744.0,Cary Avenue,1031,NULL,NULL,NULL,-118.25737,33.7838653,"CA, 90744.0, Cary Avenue, 1031",1537986922,NULL,7,1
12183781,NULL,NULL,"CIHAK,  GREGORY A",CA,Thousand Oaks,91320.0,ALESSANDRO DR,1238,NULL,NULL,NULL,-118.9070591,34.180007700000004,"CA, 91320.0, ALESSANDRO DR, 1238",1543578911,NULL,3,0
16326639,NULL,NULL,"ROBINSON JR,  JAMES A",OH,COLUMBUS,43204,LAKE SHORE DR,2029,NULL,OH,FRA,-83.08001440000002,39.9962774,"OH, 43204, LAKE SHORE DR, 2029",1516987587,NULL,13,3
13349573,NULL,NULL,"VOITIK,  DYLAN S",ME,Portland,4102.0,State St,38,NULL,ME,Cumberland,-70.26079890000001,43.6494907,"ME, 4102.0, State St, 38",1533173004,1552672751,25,3
16714387,NULL,NULL,"CIARDULLO,  EUGENE M",NY,Lewiston,14092,North 5th Street Extension,4703,NULL,NY,Niagara,-79.03960790000002,43.18488350000001,"NY, 14092, North 5th Street Extension, 4703",1516943105,NULL,2,0
9028108,NULL,NULL,"MURPHY,  TIMOTHY J",IN,LEESBURG,46538,EMS T13 LN,215,NULL,Indiana,43.0,-85.75037640000002,41.3148018,"IN, 46538, EMS T13 LN, 215",1515586628,NULL,8,2
23127115,NULL,NULL,"CRAWFORD,  MICHAEL J",FL,JACKSONVILLE,32216,LARRY DR,2121,NULL,FL,DUVAL,-81.5944425,30.2843733,"FL, 32216, LARRY DR, 2121",1538263341,NULL,17,3
6451251,NULL,NULL,"JOHNSON,  NICHOLAS",MI,DEARBORN HEIGHTS,48125,VAN BORN,22120,NULL,MI,NULL,-83.2524392,42.269725,"MI, 48125, VAN BORN, 22120",1541934984,NULL,14,3
12796060,NULL,NULL,"SUAREZ,  NADIA",ME,Biddeford,4005.0,Thatcher Brook Ln,14,NULL,ME,York,-70.4880785,43.4888808,"ME, 4005.0, Thatcher Brook Ln, 14",1527395131,NULL,4,0
33880363,NULL,NULL,"COBBS,  RENEE M",WA,SNOQUALMIE,98065,HEATHER AVE SE,7316,NULL,NULL,KING,-121.865465,47.5347944,"WA, 98065, HEATHER AVE SE, 7316",1529578256,NULL,4,0
4069623,NULL,NULL,"WHALEN,  MICHAEL P",CO,THORNTON,80241.0,COLORADO BLVD,12711,K1103,CO,NULL,-104.9419385,39.9278349,"CO, 80241.0, COLORADO BLVD, 12711",1517290536,NULL,12,3
20560687,NULL,NULL,"O'LEARY,  STEVEN T",FL,NULL,33579,Montrose Grove Ct,13004,NULL,NULL,NULL,-82.3236605,27.798968,"FL, 33579, Montrose Grove Ct, 13004",1520993382,NULL,9,2
5999661,NULL,NULL,"FRAZIER,  MAMIE C",MI,DEARBORN,48124,CORNELL,3840.0,NULL,MI,NULL,-83.2683256,42.2820779,"MI, 48124, CORNELL, 3840.0",1538980085,NULL,3,0
7181016,NULL,NULL,"LAMBERG,  MARK A",PA,WEST MIFFLIN,15122,COMMONWEALTH AVE,724,NULL,PA,ALLEGHENY,-79.8881646,40.3782585,"PA, 15122, COMMONWEALTH AVE, 724",1545636234,NULL,20,3
464328,NULL,NULL,"WAUDIWALA,  DAANISH G",MA,NULL,2126,Wachusett Street,23,NULL,NULL,NULL,-71.10214,42.26256,"MA, 2126, Wachusett Street, 23",1533858147,NULL,2,0
2901718,NULL,NULL,"SPAW,  JOHN",MA,ASHLAND,1721.0,MAIN STREET,251,NULL,MA,MIDDLESEX,-71.4632955,42.2584966,"MA, 1721.0, MAIN STREET, 251",1515851418,NULL,3,0
24556153,NULL,NULL,"TANTILLO,  STEVEN J",AZ,PHOENIX,85035.0,N 44TH AVE,2556.0,NULL,NULL,NULL,-112.1534551,33.476680800000004,"AZ, 85035.0, N 44TH AVE, 2556.0",1536505588,NULL,27,3
30177800,NULL,NULL,"MORALES,  YVETTE",FL,MIAMI,33150,NW 67TH ST,636,NULL,NULL,MIAMI-DADE,-80.20774499999997,25.836014,"FL, 33150, NW 67TH ST, 636",1518506736,NULL,1,0
22565293,NULL,NULL,"MORIARTY,  PATRICK",IL,Zion,60099,Highland Rd,4013,NULL,IL,NULL,-87.8711142,42.4718038,"IL, 60099, Highland Rd, 4013",1537949478,NULL,8,2
16125303,NULL,NULL,"HANSEN,  KEVIN R",NY,Rochester,14620,Bly Street,9,NULL,NY,Monroe,-77.5947342,43.1365448,"NY, 14620, Bly Street, 9",1521738327,NULL,1,0
5354746,NULL,NULL,"KARPINSKI,  THOMAS L",PA,NULL,19145-4620,S CARLISLE ST,2616,NULL,NULL,NULL,-75.1724373,39.9179103,"PA, 19145-4620, S CARLISLE ST, 2616",1519770008,NULL,0,0
16941872,NULL,NULL,"EVANS,  KELLY L",CA,NORCO,92860,VINE AVE,2847,NULL,NULL,NULL,-117.5873484,33.9236295,"CA, 92860, VINE AVE, 2847",1520026368,NULL,6,1
12584934,NULL,NULL,"JOZEFOWICZ,  DEANNA A",AL,NULL,36609.0,SAN JUAN DR,3611,NULL,NULL,NULL,-88.1388124,30.6603821,"AL, 36609.0, SAN JUAN DR, 3611",1540452759,NULL,2,0
2077001,NULL,NULL,"KOCHANEY,  EDWARD A",MA,WORCESTER,1609,RUSTIC DRIVE,45,NULL,MA,WORCESTER,-71.8443453,42.2807785,"MA, 1609, RUSTIC DRIVE, 45",1516686766,NULL,1,0
6654983,NULL,NULL,"WHITTEN,  RICKIE D",MI,CANTON,48188,RIDGE S,1205.0,NULL,MI,NULL,-83.5408901,42.2961362,"MI, 48188, RIDGE S, 1205.0",1530356826,NULL,4,0
13813172,NULL,NULL,"IZEWSKI,  URSULA T",KS,NULL,67017.0,E 101ST ST N,15605,NULL,NULL,NULL,-97.1563665,37.8670735,"KS, 67017.0, E 101ST ST N, 15605",1524720485,NULL,5,0
67413830,NULL,NULL,"WATTS,  SHEILA S",TN,Washington County,37681,COLLINS LN,164,NULL,TN,NULL,-82.6355269,36.2636263,"TN, 37681, COLLINS LN, 164",1544708444,NULL,10,2
31985764,NULL,NULL,"DURHAM,  JENNIFER M",WA,SUNNYSIDE,98944,VANBELLE RD,10191.0,NULL,NULL,NULL,-119.9655161,46.346742600000006,"WA, 98944, VANBELLE RD, 10191.0",1516385651,NULL,32,3
3950311,NULL,NULL,"ENGLISH,  DENISE M",MN,Eden Prairie,55346,Pheasant Circle,19190,NULL,NULL,NULL,-93.5203119,44.871247,"MN, 55346, Pheasant Circle, 19190",1539414789,NULL,5,0
12124309,NULL,NULL,"JIMENEZ,  JACKLYN I",KS,GARDNER,66030,S  MEADOWBROOK ST,607,NULL,KS,JOHNSON COUNTY,-94.9344489,38.8012751,"KS, 66030, S  MEADOWBROOK ST, 607",1523601602,NULL,4,0
13450333,NULL,NULL,"FREEDMAN,  BRIAN R",ME,Hope,4847.0,Payson Path,207,NULL, ,Knox,-69.16894609999999,44.252595,"ME, 4847.0, Payson Path, 207",1515662455,NULL,2,0
30711748,NULL,NULL,"KACZYNSKI,  MICHAEL J",FL,APOPKA,32712,ERROL PKWY,620,NULL,NULL,ORANGE,-81.54024,28.6943,"FL, 32712, ERROL PKWY, 620",1531513848,NULL,16,3
5772823,NULL,NULL,"STROH,  MATTHEW J",CO,Boulder,80302.0,Grove,1637,NULL,NULL,NULL,-105.2727582,40.0155823,"CO, 80302.0, Grove, 1637",1526402053,NULL,8,2
5960259,NULL,NULL,"GAFFEN,  LEON J",PA,ALTOONA,16601,SUNRISE CT,199,NULL,PA,BLAIR,-78.3035275,40.6249723,"PA, 16601, SUNRISE CT, 199",1540593552,NULL,7,1
33853066,NULL,NULL,"MENDEZ,  RICARDO",FL,SARASOTA,34241,WELLFLEET DR N,5346,NULL,NULL,SARASOTA,-82.44528299999998,27.276884000000006,"FL, 34241, WELLFLEET DR N, 5346",1530096136,NULL,14,3
54752534,NULL,NULL,"FIORITO,  FRANK J",NC,NULL,27043,MARSHALL RIDGE RD,1065,NULL,NULL,NULL,-80.3624655,36.4111232,"NC, 27043, MARSHALL RIDGE RD, 1065",1516363478,NULL,1,0
1408793,NULL,NULL,"JONES,  COVONNIA M",VA,NULL,22205,10TH ST N,5953,NULL,NULL,NULL,-77.1421279,38.87902879999999,"VA, 22205, 10TH ST N, 5953",1543408110,NULL,15,3
31560340,NULL,NULL,"MONTGOMERY,  ANGELA R",WA,OLYMPIA,98512,76TH LN SW,6634.0,NULL,NULL,NULL,-123.0237446,46.9805559,"WA, 98512, 76TH LN SW, 6634.0",1545732489,NULL,7,1
9144468,NULL,NULL,"HANNAH,  MICHELLE I",CA,SAN LUIS OBISPO,93405,CRANDALL WAY,175.0,19,NULL,NULL,-120.6622594,35.29671679999999,"CA, 93405, CRANDALL WAY, 175.0",1515751285,NULL,9,2
5772747,NULL,NULL,"LIBERTY,  KENNETH C",CO,Boulder,80301.0,Pearl,4963,NULL,NULL,NULL,-105.2358991,40.0211636,"CO, 80301.0, Pearl, 4963",1528257032,NULL,16,3
13011917,NULL,NULL,"WASHINGTON,  RAYMOND E",ME,Rumford,4276.0,Andover Rd,13,NULL,ME,Oxford,-70.6212167,44.51423870000001,"ME, 4276.0, Andover Rd, 13",1518613675,NULL,1,0
25153462,NULL,NULL,"BOCHEK,  PETER J",AZ,GILBERT,85295.0,E TYSON ST,1167.0,NULL,NULL,NULL,-111.7652729,33.3100629,"AZ, 85295.0, E TYSON ST, 1167.0",1531802842,1552586645,6,1
11913053,NULL,NULL,"ARROYO,  JORGE",NJ,WEST MILFORD,7480.0,Macopin Road,485,NULL,NULL,NULL,-74.3758848,41.0296687,"NJ, 7480.0, Macopin Road, 485",1537780231,NULL,0,0
55220565,NULL,NULL,"HOPKINS,  YOLANDA",NC,NULL,28025.0,VIKING DRIVE SOUTHWEST,541,NULL,NULL,CABARRUS,-80.5883595,35.36835770000001,"NC, 28025.0, VIKING DRIVE SOUTHWEST, 541",1517572560,NULL,16,3
16393800,NULL,NULL,"WARYAN,  CHLOE H",NY,West Seneca,14224,East And West Road,159,NULL,NY,Erie,-78.76520959999998,42.8200809,"NY, 14224, East And West Road, 159",1533042512,NULL,8,2
401785,NULL,NULL,"ROBERTS,  JASON A",MO,SAINT LOUIS,63136.0,SAPPHIRE AVE,7202,NULL,MO,NULL,-90.2706773,38.7145768,"MO, 63136.0, SAPPHIRE AVE, 7202",1528097841,NULL,2,0
53953089,NULL,NULL,"HALL SR,  KEITH I",NC,NULL,27012,BRIAR CREEK RD,4290.0,NULL,NULL,NULL,-80.39738620000001,36.0247157,"NC, 27012, BRIAR CREEK RD, 4290.0",1545134802,NULL,6,1
5803544,NULL,NULL,"RAIMONDI,  ANTHONY M",MI,NULL,48228.0,METTETAL,8311.0,NULL,NULL,NULL,-83.20554399999997,42.3541012,"MI, 48228.0, METTETAL, 8311.0",1541123467,NULL,1,0
24035161,NULL,NULL,"HOLMES,  DUANA B",WI,Somers,53140,7TH ST,239,NULL,NULL,NULL,-87.8116948,42.6532141,"WI, 53140, 7TH ST, 239",1519546900,NULL,8,2
13997506,NULL,NULL,"OLIVER,  NICHOLE A",NY,NULL,11221.0,VAN BUREN ST,452,NULL,NULL,NULL,-73.9302276,40.6914075,"NY, 11221.0, VAN BUREN ST, 452",1533945160,NULL,5,0
15289547,NULL,NULL,"VIDLJINOVIC,  AMANDA M",OH,NULL,45807.0,N DIXIE HWY,5420,NULL,OH,ALL,-83.9919245,40.8169071,"OH, 45807.0, N DIXIE HWY, 5420",1524231130,NULL,6,1
13990007,NULL,NULL,"CONCANNON,  JUSTIN J",CA,Diamond Bar,91765.0,Oak Knoll Drive,2800,NULL,NULL,NULL,-117.8282605,33.9741115,"CA, 91765.0, Oak Knoll Drive, 2800",1520206473,NULL,6,1
